mae: 4.074705489067881: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 3.854494336864019: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 4.095227164568343: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.4305335674745416: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.2995308302360358: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 3.6490410899930925: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.264840164854587: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.241854750509645: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 4.921758635441751: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.048374532074596: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 3.844108493257353: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 1 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
